Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999,Season
1,Connor McDavid,26,EDM,C,82,64,89,153,22,36,18.2,39,21,4,11,36,50,3,352,18.2,1836,22:23,40,89,525,486,51.9,mcdavco01,2023
2,Leon Draisaitl,27,EDM,C,80,52,76,128,7,24,14.2,19,32,1,11,45,30,1,247,21.1,1739,21:44,40,66,807,663,54.9,draisle01,2023
3,Nikita Kucherov,29,TBL,RW,82,30,83,113,-2,36,10.7,22,8,0,4,41,42,0,271,11.1,1651,20:08,28,61,2,0,100,kucheni01,2023
4,David Pastrňák,26,BOS,RW,82,61,52,113,34,38,15.1,43,18,0,13,33,19,0,407,15,1604,19:34,33,91,8,11,42.1,pastrda01,2023
5,Nathan MacKinnon,27,COL,C,71,42,69,111,29,30,13.1,30,12,0,9,47,22,0,366,11.5,1585,22:19,40,53,519,649,44.4,mackina01,2023
6,Jason Robertson,23,DAL,LW,82,46,63,109,37,20,13.9,33,13,0,7,35,28,0,313,14.7,1545,18:50,19,57,0,1,0,roberja01,2023
7,Matthew Tkachuk,25,FLA,LW,79,40,69,109,29,123,12.3,26,14,0,6,46,22,1,322,12.4,1614,20:26,31,68,13,16,44.8,tkachma01,2023
8,Mikko Rantanen,26,COL,RW,82,55,50,105,15,82,12.8,42,13,0,9,26,24,0,306,18,1822,22:13,41,77,222,231,49,rantami01,2023
9,Ryan Nugent-Hopkins,29,EDM,C,82,37,67,104,12,35,10.9,21,15,1,3,26,38,3,201,18.4,1624,19:48,26,48,308,374,45.2,nugenry01,2023
10,Elias Pettersson,24,VAN,C,80,39,63,102,16,14,10.9,28,6,5,6,40,19,4,257,15.2,1644,20:33,89,74,442,555,44.3,petteel01,2023
11,Erik Karlsson,32,SJS,D,82,25,76,101,-26,36,12.4,20,5,0,4,54,22,0,209,12,2100,25:37:00,90,33,0,1,0,karlser01,2023
12,Jack Hughes,21,NJD,C,78,43,56,99,10,6,11.3,34,9,0,6,34,22,0,336,12.8,1557,19:58,30,12,164,300,35.3,hugheja03,2023
13,Mitch Marner,25,TOR,RW,80,30,69,99,18,28,10.2,17,9,4,4,41,27,1,196,15.3,1702,21:17,45,53,0,4,0,marnemi01,2023
14,Brayden Point,26,TBL,C,82,51,44,95,2,7,11.2,31,20,0,9,34,10,0,235,21.7,1613,19:40,37,37,417,405,50.7,pointbr01,2023
15,Tage Thompson,25,BUF,C,78,47,47,94,4,39,11.1,26,20,1,7,33,14,0,295,15.9,1450,18:35,26,55,350,463,43.1,thompta01,2023
16,Sidney Crosby,35,PIT,C,82,33,60,93,8,52,9.6,24,9,0,9,42,18,0,255,12.9,1652,20:09,47,71,978,868,53,crosbsi01,2023
17,Artemi Panarin,31,NYR,LW,82,29,63,92,4,36,9.1,20,9,0,4,36,27,0,204,14.2,1608,19:36,11,26,6,13,31.6,panarar01,2023
18,Mika Zibanejad,29,NYR,C,82,39,52,91,25,20,10.6,18,20,1,5,32,19,1,251,15.5,1637,19:58,48,71,692,706,49.5,zibanmi01,2023
19,Tim Stützle,21,OTT,LW,78,39,51,90,-3,54,10,26,10,3,3,33,18,0,228,17.1,1659,21:16,49,114,202,284,41.6,stuetti02,2023
20,William Nylander,26,TOR,C,82,40,47,87,10,28,10,31,9,0,5,28,19,0,293,13.7,1520,18:33,26,18,25,34,42.4,nylanwi01,2023
1,Connor McDavid,25,EDM,C,80,44,79,123,28,45,14,34,10,0,9,44,34,1,314,14,1765,22:04,26,75,562,484,53.7,mcdavco01,2022
2,Johnny Gaudreau,28,CGY,LW,82,40,75,115,64,26,14.7,34,6,0,9,56,19,0,262,15.3,1523,18:34,9,10,1,0,100,gaudrjo01,2022
3,Jonathan Huberdeau,28,FLA,LW,80,30,85,115,35,54,11.9,22,5,3,7,50,33,2,222,13.5,1554,19:25,28,99,18,36,33.3,huberjo01,2022
4,Leon Draisaitl,26,EDM,C,80,55,55,110,17,40,13.3,30,24,1,11,38,17,0,278,19.8,1788,22:21,25,53,887,774,53.4,draisle01,2022
5,Kirill Kaprizov,24,MIN,LW,81,47,61,108,27,34,12.8,33,14,0,5,44,17,0,289,16.3,1548,19:06,29,73,5,4,55.6,kapriki01,2022
6,Auston Matthews,24,TOR,C,73,60,46,106,20,18,13.8,44,16,0,10,33,13,0,348,17.2,1504,20:37,62,67,691,538,56.2,matthau01,2022
7,Steven Stamkos,31,TBL,C,81,42,64,106,24,36,12.5,26,16,0,11,44,20,0,241,17.4,1497,18:29,31,93,545,523,51,stamkst01,2022
8,Matthew Tkachuk,24,CGY,RW,82,42,62,104,57,68,13.7,30,12,0,6,45,17,0,253,16.6,1468,17:54,20,93,20,23,46.5,tkachma01,2022
9,J.T. Miller,28,VAN,C,80,32,67,99,15,47,10.6,24,8,0,6,35,30,2,206,15.5,1686,21:05,56,172,667,566,54.1,millejt01,2022
10,Mitch Marner,24,TOR,RW,72,35,62,97,23,16,10.7,26,6,3,5,42,19,1,224,15.6,1504,20:53,31,75,10,8,55.6,marnemi01,2022
11,Roman Josi,31,NSH,D,80,23,73,96,13,46,13.9,12,11,0,2,47,26,0,281,8.2,2044,25:33:00,133,66,0,0,,josiro01,2022
12,Artemi Panarin,30,NYR,LW,75,22,74,96,21,18,9.9,17,5,0,5,42,32,0,177,12.4,1441,19:13,14,22,1,1,50,panarar01,2022
13,Kyle Connor,25,WPG,LW,79,47,46,93,-3,4,10.6,36,8,3,9,26,20,0,317,14.8,1720,21:47,23,32,1,6,14.3,connoky01,2022
14,Patrick Kane,33,CHI,RW,78,26,66,92,-19,18,8.1,17,9,0,2,44,22,0,287,9.1,1702,21:49,26,11,4,4,50,kanepa01,2022
15,Mikko Rantanen,25,COL,RW,75,36,56,92,35,56,10.5,20,16,0,2,37,19,0,254,14.2,1574,20:59,43,58,164,190,46.3,rantami01,2022
16,Alex Ovechkin,36,WSH,LW,77,50,40,90,8,18,11.4,33,16,1,5,27,13,0,334,15,1584,20:34,25,156,4,9,30.8,ovechal01,2022
17,Aleksander Barkov,26,FLA,C,67,39,49,88,36,18,10.6,23,12,4,5,34,14,1,214,18.2,1360,20:18,42,50,713,539,56.9,barkoal01,2022
18,Nathan MacKinnon,26,COL,C,65,32,56,88,22,42,9.7,25,7,0,5,36,20,0,299,10.7,1369,21:04,39,68,383,461,45.4,mackina01,2022
19,Nazem Kadri,31,COL,C,71,28,59,87,13,71,8.9,20,8,0,6,38,21,0,247,11.3,1366,19:14,19,52,585,592,49.7,kadrina01,2022
20,Matt Duchene,31,NSH,C,78,43,43,86,6,38,10,27,16,0,6,30,13,0,228,18.9,1483,19:01,28,31,119,101,54.1,duchema01,2022
1,Connor McDavid,24,EDM,C,56,33,72,105,21,20,13,24,9,0,11,44,28,0,200,16.5,1241,22:09,24,61,316,322,49.5,mcdavco01,2021
2,Leon Draisaitl,25,EDM,C,56,31,53,84,29,22,10.9,15,15,1,8,36,17,0,168,18.5,1243,22:11,12,37,574,457,55.7,draisle01,2021
3,Brad Marchand,32,BOS,LW,53,29,40,69,26,46,9.6,21,4,4,5,23,14,3,143,20.3,1002,18:55,11,66,11,24,31.4,marchbr03,2021
4,Mitch Marner,23,TOR,RW,55,20,47,67,21,20,7.3,20,0,0,5,31,14,2,156,12.8,1233,22:26,41,23,4,1,80,marnemi01,2021
5,Patrick Kane,32,CHI,RW,56,15,51,66,-7,14,6.1,12,3,0,3,32,19,0,191,7.9,1245,22:14,15,13,2,5,28.6,kanepa01,2021
6,Auston Matthews,23,TOR,C,52,41,25,66,21,10,9.5,31,10,0,12,22,3,0,222,18.5,1121,21:33,47,57,450,417,51.9,matthau01,2021
7,Mikko Rantanen,24,COL,RW,52,30,36,66,30,34,9.1,21,9,0,7,21,15,0,177,16.9,1036,19:55,20,26,32,32,50,rantami01,2021
8,Nathan MacKinnon,25,COL,C,48,20,45,65,22,37,7.7,12,8,0,2,28,17,0,206,9.7,977,20:22,15,38,239,254,48.5,mackina01,2021
9,Mark Scheifele,27,WPG,C,56,21,42,63,-4,12,6.5,17,4,0,4,29,13,0,126,16.7,1174,20:58,38,31,352,355,49.8,scheima01,2021
10,Sidney Crosby,33,PIT,C,55,24,38,62,8,26,7,18,5,1,5,21,17,0,159,15.1,1122,20:24,28,44,676,586,53.6,crosbsi01,2021
11,Jonathan Huberdeau,27,FLA,LW,55,20,41,61,12,36,7.1,15,5,0,1,22,19,0,122,16.4,1013,18:25,11,51,17,22,43.6,huberjo01,2021
12,Mark Stone,28,VEG,RW,55,21,40,61,26,28,7.6,14,6,1,8,29,11,0,98,21.4,1048,19:04,33,31,12,18,40,stonema01,2021
13,Aleksander Barkov,25,FLA,C,50,26,32,58,12,14,7.3,18,7,1,6,20,12,0,176,14.8,1047,20:56,37,31,563,463,54.9,barkoal01,2021
14,Artemi Panarin,29,NYR,LW,42,17,41,58,14,6,6.8,12,5,0,1,28,13,0,106,16,825,19:39,7,13,0,3,0,panarar01,2021
15,David Perron,32,STL,LW,56,19,39,58,6,22,6.3,13,6,0,2,24,15,0,151,12.6,1039,18:33,25,45,0,6,0,perroda01,2021
16,Sebastian Aho,23,CAR,F,56,24,33,57,16,32,7.2,14,7,3,7,22,11,0,148,16.2,1090,19:28,25,38,365,327,52.7,ahose01,2021
17,Jake Guentzel,26,PIT,C,56,23,34,57,7,28,6.3,17,6,0,7,21,12,1,141,16.3,1135,20:16,32,43,3,9,25,guentja01,2021
18,Alex DeBrincat,23,CHI,RW,52,32,24,56,3,12,7.5,22,9,1,7,15,9,0,155,20.6,1068,20:32,22,70,16,24,40,debrial01,2021
19,Ryan O'Reilly,29,STL,C,56,24,30,54,26,18,6.9,18,4,2,4,22,8,0,129,18.6,1162,20:45,26,24,703,493,58.8,oreilry01,2021
20,Nicklas Bäckström,33,WSH,C,55,15,38,53,0,14,5.3,10,5,0,0,21,17,0,91,16.5,1023,18:36,27,25,353,378,48.3,backsni02,2021
1,Leon Draisaitl,24,EDM,C,71,43,67,110,-7,18,12.8,27,16,0,10,39,28,0,218,19.7,1605,22:37,19,27,662,608,52.1,draisle01,2020
2,Connor McDavid,23,EDM,C,64,34,63,97,-6,28,10.9,23,11,0,6,31,32,0,212,16,1399,21:52,18,37,320,350,47.8,mcdavco01,2020
3,Artemi Panarin,28,NYR,LW,69,32,63,95,36,20,11.4,25,7,0,4,46,17,0,209,15.3,1422,20:36,18,25,1,1,50,panarar01,2020
4,David Pastrňák,23,BOS,RW,70,48,47,95,21,40,13.2,28,20,0,10,29,18,0,279,17.2,1327,18:58,22,47,7,11,38.9,pastrda01,2020
5,Nathan MacKinnon,24,COL,C,69,35,58,93,13,12,10.8,23,12,0,4,39,19,0,318,11,1464,21:13,31,51,363,478,43.2,mackina01,2020
6,Brad Marchand,31,BOS,LW,70,28,59,87,25,82,10.4,22,5,1,5,34,23,2,185,15.1,1362,19:27,19,55,22,29,43.1,marchbr03,2020
7,Nikita Kucherov,26,TBL,RW,68,33,52,85,26,38,10.5,29,4,0,6,31,21,0,210,15.7,1283,18:52,19,37,0,1,0,kucheni01,2020
8,Patrick Kane,31,CHI,RW,70,33,51,84,8,40,9.6,25,8,0,2,36,15,0,275,12,1494,21:20,19,24,1,3,25,kanepa01,2020
9,Auston Matthews,22,TOR,C,70,47,33,80,19,8,10.8,35,12,0,5,20,13,0,290,16.2,1468,20:58,60,40,506,415,54.9,matthau01,2020
10,Jack Eichel,23,BUF,C,68,36,42,78,5,34,9.5,24,11,1,9,26,16,0,227,15.9,1503,22:06,42,40,615,696,46.9,eicheja01,2020
11,Jonathan Huberdeau,26,FLA,LW,69,23,55,78,5,30,8,18,5,0,3,31,24,0,152,15.1,1295,18:46,26,51,24,37,39.3,huberjo01,2020
12,John Carlson,30,WSH,D,69,15,60,75,12,26,10.7,13,2,0,6,36,24,0,189,7.9,1700,24:38:00,108,55,0,1,0,carlsjo01,2020
13,Mika Zibanejad,26,NYR,C,57,41,34,75,9,14,9.7,23,15,3,6,20,12,2,208,19.7,1233,21:38,49,51,592,612,49.2,zibanmi01,2020
14,Evgeni Malkin,33,PIT,C,55,25,49,74,7,58,8.5,18,7,0,5,32,17,0,171,14.6,1074,19:31,22,38,441,435,50.3,malkiev01,2020
15,Kyle Connor,23,WPG,LW,71,38,35,73,4,34,8.7,28,9,1,7,26,8,1,239,15.9,1497,21:05,17,18,2,11,15.4,connoky01,2020
16,Mark Scheifele,26,WPG,C,71,29,44,73,2,45,7.6,19,10,0,6,34,10,0,170,17.1,1548,21:48,49,34,605,685,46.9,scheima01,2020
17,J.T. Miller,26,VAN,C,69,27,45,72,11,47,7.9,18,9,0,3,27,16,2,165,16.4,1387,20:06,38,123,425,293,59.2,millejt01,2020
18,Mitch Marner,22,TOR,RW,59,16,51,67,6,16,6.2,10,6,0,2,32,18,1,154,10.4,1272,21:33,37,24,7,19,26.9,marnemi01,2020
19,Alex Ovechkin,34,WSH,LW,68,48,19,67,-12,30,8.7,35,13,0,3,14,5,0,311,15.4,1405,20:40,30,184,1,0,100,ovechal01,2020
20,Sebastian Aho,22,CAR,F,68,38,28,66,10,26,8.6,26,8,4,5,18,9,1,206,18.4,1321,19:25,20,55,409,480,46,ahose01,2020
1,Nikita Kucherov,25,TBL,RW,82,41,87,128,24,62,14.6,26,15,0,8,54,33,0,246,16.7,1637,19:58,31,44,0,3,0,kucheni01,2019
2,Connor McDavid,22,EDM,C,78,41,75,116,3,20,13,31,9,1,9,50,24,1,240,17.1,1781,22:50,30,39,428,490,46.6,mcdavco01,2019
3,Patrick Kane,30,CHI,RW,81,44,66,110,2,22,11.8,35,9,0,7,45,21,0,341,12.9,1822,22:29,18,21,1,4,20,kanepa01,2019
4,Leon Draisaitl,23,EDM,C,82,50,55,105,2,52,12.6,31,16,3,5,42,13,0,231,21.6,1852,22:35,26,57,677,663,50.5,draisle01,2019
5,Sidney Crosby,31,PIT,C,79,35,65,100,18,36,11.4,23,12,0,3,46,17,2,220,15.9,1658,21:00,43,85,1012,814,55.4,crosbsi01,2019
6,Brad Marchand,30,BOS,LW,79,36,64,100,15,96,11.7,23,10,3,9,36,24,4,231,15.6,1550,19:37,19,46,45,60,42.9,marchbr03,2019
7,Johnny Gaudreau,25,CGY,LW,82,36,63,99,18,24,10.9,30,6,0,8,42,21,0,245,14.7,1646,20:04,12,12,1,2,33.3,gaudrjo01,2019
8,Nathan MacKinnon,23,COL,C,82,41,58,99,20,34,11.8,29,12,0,6,33,25,0,365,11.2,1812,22:05,31,54,518,666,43.8,mackina01,2019
9,Steven Stamkos,28,TBL,C,82,45,53,98,4,37,11.5,24,19,2,6,32,21,0,234,19.2,1501,18:18,40,72,506,447,53.1,stamkst01,2019
10,Aleksander Barkov,23,FLA,C,82,35,61,96,-3,8,10,22,13,0,5,42,18,1,206,17,1833,22:21,61,28,1041,898,53.7,barkoal01,2019
11,Mitch Marner,21,TOR,RW,82,26,68,94,22,22,9.8,22,3,1,5,48,18,2,233,11.2,1625,19:49,43,29,7,5,58.3,marnemi01,2019
12,Jonathan Huberdeau,25,FLA,C,82,30,62,92,-14,40,9.1,19,11,0,5,39,23,0,226,13.3,1546,18:51,45,57,12,7,63.2,huberjo01,2019
13,Brayden Point,22,TBL,C,79,41,51,92,27,28,11.4,21,20,0,7,36,15,0,191,21.5,1495,18:55,43,31,435,421,50.8,pointbr01,2019
14,Blake Wheeler,32,WPG,RW,82,20,71,91,0,60,8.2,16,2,2,3,39,31,1,231,8.7,1698,20:43,53,81,31,57,35.2,wheelbl01,2019
15,Alex Ovechkin,33,WSH,LW,81,51,38,89,7,40,11,33,18,0,5,28,10,0,338,15.1,1695,20:55,41,223,1,4,20,ovechal01,2019
16,John Tavares,28,TOR,C,82,47,41,88,19,34,11.3,37,10,0,8,32,9,0,286,16.4,1565,19:05,53,59,833,694,54.6,tavarjo01,2019
17,Artemi Panarin,27,CBJ,LW,79,28,59,87,14,23,9.7,22,6,0,8,47,12,0,191,14.7,1569,19:51,17,14,1,3,25,panarar01,2019
18,Mikko Rantanen,22,COL,RW,74,31,56,87,13,54,9.8,15,16,0,4,39,17,0,193,16.1,1542,20:51,41,59,17,29,37,rantami01,2019
19,Claude Giroux,31,PHI,LW,82,22,63,85,9,24,7.9,19,2,1,4,42,21,0,229,9.6,1759,21:27,19,28,674,489,58,giroucl01,2019
20,Mark Scheifele,25,WPG,C,82,38,46,84,8,38,9.4,26,12,0,6,32,11,3,199,19.1,1793,21:52,54,54,802,933,46.2,scheima01,2019
1,Connor McDavid,21,EDM,C,82,41,67,108,20,26,13.1,35,5,1,7,49,15,3,274,15,1767,21:33,46,28,376,533,41.4,mcdavco01,2018
2,Claude Giroux,30,PHI,LW,82,34,68,102,28,20,11.8,25,9,0,1,41,27,0,193,17.6,1670,20:22,23,30,638,450,58.6,giroucl01,2018
3,Nikita Kucherov,24,TBL,RW,80,39,61,100,15,42,11.6,31,8,0,7,33,28,0,279,14,1586,19:49,15,31,3,2,60,kucheni01,2018
4,Evgeni Malkin,31,PIT,C,78,42,56,98,16,87,12.4,28,14,0,7,32,24,0,239,17.6,1481,18:59,32,48,460,592,43.7,malkiev01,2018
5,Nathan MacKinnon,22,COL,C,74,39,58,97,11,55,12.2,27,12,0,12,37,20,1,284,13.7,1473,19:54,22,38,484,672,41.9,mackina01,2018
6,Taylor Hall,26,NJD,LW,76,39,54,93,14,34,12.2,25,13,1,7,30,24,0,278,14,1455,19:09,44,72,72,76,48.6,hallta02,2018
7,Phil Kessel,30,PIT,RW,82,34,58,92,-4,36,10.1,22,12,0,6,28,30,0,261,13,1532,18:41,17,10,6,13,31.6,kesseph01,2018
8,Anže Kopitar,30,LAK,C,82,35,57,92,21,20,11,28,7,0,6,35,20,2,200,17.5,1811,22:05,64,50,983,833,54.1,kopitan01,2018
9,Blake Wheeler,31,WPG,RW,81,23,68,91,13,52,9.2,17,6,0,2,32,34,2,246,9.3,1641,20:15,66,94,166,196,45.9,wheelbl01,2018
10,Sidney Crosby,30,PIT,C,82,29,60,89,0,46,9.1,20,9,0,6,31,29,0,247,11.7,1697,20:41,36,75,1026,909,53,crosbsi01,2018
11,Alex Ovechkin,32,WSH,LW,82,49,38,87,3,32,11.2,32,17,0,7,24,14,0,355,13.8,1652,20:09,21,139,3,5,37.5,ovechal01,2018
12,Steven Stamkos,27,TBL,C,78,27,59,86,18,72,9.3,12,15,0,1,41,18,0,212,12.7,1464,18:46,35,61,466,426,52.2,stamkst01,2018
13,Mathew Barzal,20,NYI,C,82,22,63,85,1,30,8.2,17,5,0,4,41,22,0,170,12.9,1457,17:46,31,21,355,479,42.6,barzama01,2018
14,Brad Marchand,29,BOS,LW,68,34,51,85,25,63,11,25,8,1,8,33,15,3,182,18.7,1341,19:43,25,37,50,76,39.7,marchbr03,2018
15,Jakub Voráček,28,PHI,RW,82,20,65,85,10,50,8.1,15,5,0,3,35,30,0,228,8.8,1595,19:27,32,23,15,19,44.1,voracja01,2018
16,Johnny Gaudreau,24,CGY,LW,80,24,60,84,2,26,8.7,21,3,0,4,39,21,0,227,10.6,1554,19:25,18,16,1,4,20,gaudrjo01,2018
17,Mikko Rantanen,21,COL,RW,81,29,55,84,0,34,9.3,17,12,0,3,32,23,0,178,16.3,1536,18:58,40,32,60,57,51.3,rantami01,2018
